Variable Type,Indicator.Name
Years of Schooling,"Barro-Lee: Average years of primary schooling, age 40-44, total"
Years of Schooling,"Barro-Lee: Average years of primary schooling, age 45-49, female"
Years of Schooling,"Barro-Lee: Average years of primary schooling, age 45-49, total"
Years of Schooling,"Barro-Lee: Average years of primary schooling, age 50-54, female"
Years of Schooling,"Barro-Lee: Average years of primary schooling, age 50-54, total"
Years of Schooling,"Barro-Lee: Average years of primary schooling, age 55-59, female"
Years of Schooling,"Barro-Lee: Average years of primary schooling, age 55-59, total"
Years of Schooling,"Barro-Lee: Average years of primary schooling, age 60-64, female"
Years of Schooling,"Barro-Lee: Average years of primary schooling, age 60-64, total"
Years of Schooling,"Barro-Lee: Average years of primary schooling, age 65-69, female"
Years of Schooling,"Barro-Lee: Average years of primary schooling, age 65-69, total"
Years of Schooling,"Barro-Lee: Average years of primary schooling, age 70-74, female"
Years of Schooling,"Barro-Lee: Average years of primary schooling, age 70-74, total"
Years of Schooling,"Barro-Lee: Average years of primary schooling, age 75+, female"
Years of Schooling,"Barro-Lee: Average years of primary schooling, age 75+, total"
Years of Schooling,"Barro-Lee: Average years of secondary schooling, age 15-19, female"
Years of Schooling,"Barro-Lee: Average years of secondary schooling, age 15-19, total"
Years of Schooling,"Barro-Lee: Average years of secondary schooling, age 15+, female"
Years of Schooling,"Barro-Lee: Average years of secondary schooling, age 15+, total"
Years of Schooling,"Barro-Lee: Average years of secondary schooling, age 20-24, female"
Years of Schooling,"Barro-Lee: Average years of secondary schooling, age 20-24, total"
Years of Schooling,"Barro-Lee: Average years of secondary schooling, age 25-29, female"
Years of Schooling,"Barro-Lee: Average years of secondary schooling, age 25-29, total"
Years of Schooling,"Barro-Lee: Average years of secondary schooling, age 25+, female"
Years of Schooling,"Barro-Lee: Average years of secondary schooling, age 25+, total"
Years of Schooling,"Barro-Lee: Average years of secondary schooling, age 30-34, female"
Years of Schooling,"Barro-Lee: Average years of secondary schooling, age 30-34, total"
Years of Schooling,"Barro-Lee: Average years of secondary schooling, age 35-39, female"
Years of Schooling,"Barro-Lee: Average years of secondary schooling, age 35-39, total"
Years of Schooling,"Barro-Lee: Average years of secondary schooling, age 40-44, female"
Years of Schooling,"Barro-Lee: Average years of secondary schooling, age 40-44, total"
Years of Schooling,"Barro-Lee: Average years of secondary schooling, age 45-49, female"
Years of Schooling,"Barro-Lee: Average years of secondary schooling, age 45-49, total"
Years of Schooling,"Barro-Lee: Average years of secondary schooling, age 50-54, female"
Years of Schooling,"Barro-Lee: Average years of secondary schooling, age 50-54, total"
Years of Schooling,"Barro-Lee: Average years of secondary schooling, age 55-59, female"
Years of Schooling,"Barro-Lee: Average years of secondary schooling, age 55-59, total"
Years of Schooling,"Barro-Lee: Average years of secondary schooling, age 60-64, female"
Years of Schooling,"Barro-Lee: Average years of secondary schooling, age 60-64, total"
Years of Schooling,"Barro-Lee: Average years of secondary schooling, age 65-69, female"
Years of Schooling,"Barro-Lee: Average years of secondary schooling, age 65-69, total"
Years of Schooling,"Barro-Lee: Average years of secondary schooling, age 70-74, female"
Years of Schooling,"Barro-Lee: Average years of secondary schooling, age 70-74, total"
Years of Schooling,"Barro-Lee: Average years of secondary schooling, age 75+, female"
Years of Schooling,"Barro-Lee: Average years of secondary schooling, age 75+, total"
Years of Schooling,"Barro-Lee: Average years of tertiary schooling, age 15-19, female"
Years of Schooling,"Barro-Lee: Average years of tertiary schooling, age 15-19, total"
Years of Schooling,"Barro-Lee: Average years of tertiary schooling, age 15+, female"
Years of Schooling,"Barro-Lee: Average years of tertiary schooling, age 15+, total"
Years of Schooling,"Barro-Lee: Average years of tertiary schooling, age 20-24, female"
Years of Schooling,"Barro-Lee: Average years of tertiary schooling, age 20-24, total"
Years of Schooling,"Barro-Lee: Average years of tertiary schooling, age 25-29, female"
Years of Schooling,"Barro-Lee: Average years of tertiary schooling, age 25-29, total"
Years of Schooling,"Barro-Lee: Average years of tertiary schooling, age 25+, female"
Years of Schooling,"Barro-Lee: Average years of tertiary schooling, age 25+, total"
Years of Schooling,"Barro-Lee: Average years of tertiary schooling, age 30-34, female"
Years of Schooling,"Barro-Lee: Average years of tertiary schooling, age 30-34, total"
Years of Schooling,"Barro-Lee: Average years of tertiary schooling, age 35-39, female"
Years of Schooling,"Barro-Lee: Average years of tertiary schooling, age 35-39, total"
Years of Schooling,"Barro-Lee: Average years of tertiary schooling, age 40-44, female"
Years of Schooling,"Barro-Lee: Average years of tertiary schooling, age 40-44, total"
Years of Schooling,"Barro-Lee: Average years of tertiary schooling, age 45-49, female"
Years of Schooling,"Barro-Lee: Average years of tertiary schooling, age 45-49, total"
Years of Schooling,"Barro-Lee: Average years of tertiary schooling, age 50-54, female"
Years of Schooling,"Barro-Lee: Average years of tertiary schooling, age 50-54, total"
Years of Schooling,"Barro-Lee: Average years of tertiary schooling, age 55-59, female"
Years of Schooling,"Barro-Lee: Average years of tertiary schooling, age 55-59, total"
Years of Schooling,"Barro-Lee: Average years of tertiary schooling, age 60-64, female"
Years of Schooling,"Barro-Lee: Average years of tertiary schooling, age 60-64, total"
Years of Schooling,"Barro-Lee: Average years of tertiary schooling, age 65-69, female"
Years of Schooling,"Barro-Lee: Average years of tertiary schooling, age 65-69, total"
Years of Schooling,"Barro-Lee: Average years of tertiary schooling, age 70-74, female"
Years of Schooling,"Barro-Lee: Average years of tertiary schooling, age 70-74, total"
Years of Schooling,"Barro-Lee: Average years of tertiary schooling, age 75+, female"
Years of Schooling,"Barro-Lee: Average years of tertiary schooling, age 75+, total"
Years of Schooling,"Barro-Lee: Average years of total schooling, age 15-19, female"
Years of Schooling,"Barro-Lee: Average years of total schooling, age 15-19, total"
Years of Schooling,"Barro-Lee: Average years of total schooling, age 15+, female"
Years of Schooling,"Barro-Lee: Average years of total schooling, age 15+, total"
Years of Schooling,"Barro-Lee: Average years of total schooling, age 20-24, female"
Years of Schooling,"Barro-Lee: Average years of total schooling, age 20-24, total"
Years of Schooling,"Barro-Lee: Average years of total schooling, age 25-29, female"
Years of Schooling,"Barro-Lee: Average years of total schooling, age 25-29, total"
Years of Schooling,"Barro-Lee: Average years of total schooling, age 25+, female"
Years of Schooling,"Barro-Lee: Average years of total schooling, age 25+, total"
Years of Schooling,"Barro-Lee: Average years of total schooling, age 30-34, female"
Years of Schooling,"Barro-Lee: Average years of total schooling, age 30-34, total"
Years of Schooling,"Barro-Lee: Average years of total schooling, age 35-39, female"
Years of Schooling,"Barro-Lee: Average years of total schooling, age 35-39, total"
Years of Schooling,"Barro-Lee: Average years of total schooling, age 40-44, female"
Years of Schooling,"Barro-Lee: Average years of total schooling, age 40-44, total"
Years of Schooling,"Barro-Lee: Average years of total schooling, age 45-49, female"
Years of Schooling,"Barro-Lee: Average years of total schooling, age 45-49, total"
Years of Schooling,"Barro-Lee: Average years of total schooling, age 50-54, female"
Years of Schooling,"Barro-Lee: Average years of total schooling, age 50-54, total"
Years of Schooling,"Barro-Lee: Average years of total schooling, age 55-59, female"
Years of Schooling,"Barro-Lee: Average years of total schooling, age 55-59, total"
Years of Schooling,"Barro-Lee: Average years of total schooling, age 60-64, female"
Years of Schooling,"Barro-Lee: Average years of total schooling, age 60-64, total"
Years of Schooling,"Barro-Lee: Average years of total schooling, age 65-69, female"
Years of Schooling,"Barro-Lee: Average years of total schooling, age 65-69, total"
Years of Schooling,"Barro-Lee: Average years of total schooling, age 70-74, female"
Years of Schooling,"Barro-Lee: Average years of total schooling, age 70-74, total"
Years of Schooling,"Barro-Lee: Average years of total schooling, age 75+, female"
Years of Schooling,"Barro-Lee: Average years of total schooling, age 75+, total"
